ExperimentName,Subject,Session,DataFile.Basename,DebugSession,Display.RefreshRate,ExternalStimulus,Group,RandomSeed,SessionDate,SessionStartDateTimeUtc,SessionTime,TrainingSession,UsingfMRI,Run,AvgRunACC,AvgRunReturnACC,AvgRunRT,AvgTotalACC,AvgTotalRT,Intensity,Painful,PainfulRating.DEVICE,Procedure[Run],Rest.DEVICE,RunBonus,RunList,RunList.Cycle,RunList.Sample,Running[Run],Salience,TotalBonus,Unpleasantness,Block,AvgBlockACC,AvgBlockRT,BlockACC,BlockBonus,BlockList,BlockList.Cycle,BlockList.Sample,BlockTrials,NumCorrect,NumTrials,Procedure[Block],Running[Block],Task,Trials1,Trials2,Trials3,Trial,CorrectResponse,DisplayStim.ACC,DisplayStim.CRESP,DisplayStim.DEVICE,DisplayStim.DurationError,DisplayStim.OnsetDelay,DisplayStim.OnsetTime,DisplayStim.OnsetToOnsetTime,DisplayStim.RESP,DisplayStim.RT,DisplayStim.RTTime,ITIDur,Match,Phase,PhaseSwitch,Procedure[Trial],Running[Trial],StimPath,Stimulus,TrialList1,TrialList1.Cycle,TrialList1.Sample,TrialList2,TrialList2.Cycle,TrialList2.Sample,TrialList3,TrialList3.Cycle,TrialList3.Sample
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,5,j,1,j,Keyboard,0,34,196534,516,j,610,197144,3000,random,2,,TrialProc,TrialList2,Stimulus\CIRCLEL.png,3,,,,2,1,11,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,6,f,1,f,Keyboard,0,34,200068,516,f,500,200568,2600,match,2,,TrialProc,TrialList2,Stimulus\CIRCLEE.png,4,,,,1,1,12,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,7,f,1,f,Keyboard,0,33,203201,517,f,647,203848,3400,match,3,3,TrialProc,TrialList3,Stimulus\SQUAREA.png,1,,,,,,,1,1,6
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,8,j,1,j,Keyboard,0,18,207119,516,j,513,207632,3200,random,3,,TrialProc,TrialList3,Stimulus\SQUAREE.png,4,,,,,,,2,1,7
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,3,100,601.444,9,$6.15 ,1,2,3,9,,,BlockProc,BlockList,branch,3,3,3,9,j,1,j,Keyboard,0,34,210853,516,j,491,211344,3200,random,3,,TrialProc,TrialList3,Stimulus\SQUAREB.png,2,,,,,,,2,1,8
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,1,j,1,j,Keyboard,0,34,217587,517,j,541,218128,3400,random,1,1,TrialProc,TrialList1,Stimulus\SQUAREA.png,1,2,1,11,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,2,j,1,j,Keyboard,0,34,221521,517,j,735,222256,3000,random,1,,TrialProc,TrialList1,Stimulus\SQUARET.png,0,2,1,12,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,3,j,1,j,Keyboard,0,34,225055,517,j,505,225560,3200,random,1,,TrialProc,TrialList1,Stimulus\SQUAREL.png,3,2,1,13,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,4,f,1,f,Keyboard,0,34,228789,516,f,507,229296,3200,match,1,,TrialProc,TrialList1,Stimulus\SQUAREE.png,4,1,1,14,,,,,,
ConcurrentTasks,22,4,ConcurrentTasks-Data-22-4,no,60.039,pain,1,-1493553276,07-13-2018,7/13/2018 8:47:29 PM,16:47:29,no,no,1,,,,,,,,,RunProc,,,1,1,1,RunList,,,,4,100,589.7,10,$7.15 ,54,2,4,10,,,BlockProc,BlockList,switch,4,3,3,5,f,1,f,Keyboard,0,34,232523,516,f,661,233184,3000,match,2,2,TrialProc,TrialList2,Stimulus\DIAMONDT.png,0,,,,1,1,13,,,
